全国地方公共団体コード,ID,地方公共団体名,種別,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,口径,備考
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字中鈴峯121番地,岩手県,西磐井郡平泉町,長島字中鈴峯,121番地,,38.9920117767889,141.1560937214560,,8-2
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字下田77番地,岩手県,西磐井郡平泉町,長島字下田,77番地,,38.9921913370884,141.1609338489860,,8-3
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字大槻田2番地65,岩手県,西磐井郡平泉町,長島字大槻田,2番地65,,38.9876220908407,141.1546447796780,,8-4
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字佐野30番地,岩手県,西磐井郡平泉町,長島字佐野,30番地,,38.9816720862296,141.1475994121400,,8-5
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字東岳20番地,岩手県,西磐井郡平泉町,長島字東岳,20番地,,38.9917774740887,141.1683240349880,,8-6
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字西風29番地,岩手県,西磐井郡平泉町,長島字西風,29番地,,38.9877063213214,141.1707254452770,,8-7
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字東岳103番地,岩手県,西磐井郡平泉町,長島字東岳,103番地,,38.9912430723587,141.1740187066590,,8-8
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字下長根51番地,岩手県,西磐井郡平泉町,長島字下長根,51番地,,38.9793999348521,141.1559314005870,,8-9
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字中村35番地3,岩手県,西磐井郡平泉町,長島字中村,35番地3,,38.9940468317786,141.1666167569960,,8-10
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字赤伏14番地2,岩手県,西磐井郡平泉町,長島字赤伏,14番地2,,38.9868706232748,141.1498338159330,,8-11
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字須崎50番地,岩手県,西磐井郡平泉町,長島字須崎,50番地,,38.9807764252174,141.1503535833870,,8-12
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字山王35番地3,岩手県,西磐井郡平泉町,長島字山王,35番地3,,38.9905031106953,141.1460395987330,,8-13
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字山谷21番地,岩手県,西磐井郡平泉町,長島字山谷,21番地,,38.9891768108518,141.1507452098610,,8-14
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字平石沢63番地,岩手県,西磐井郡平泉町,長島字平石沢,63番地,,38.9921847960536,141.1534359798440,,8-15
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字中鈴峯34番地,岩手県,西磐井郡平泉町,長島字中鈴峯,34番地,,38.9951507912516,141.1612651736060,,8-16
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字大槻田,岩手県,西磐井郡平泉町,長島字大槻田,,,38.9900019213223,141.1566106211670,,8-17
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字生江田26番地1,岩手県,西磐井郡平泉町,長島字生江田,26番地1,,39.0010511538246,141.1362340840610,,9-1
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町長島字生江田83番地,岩手県,西磐井郡平泉町,長島字生江田,83番地,,39.0012011107361,141.1390502569130,,9-2
